,Unnamed: 0,Date,X_outlier,y_outlier
235,235,2019-01-10,21.3,0.0
236,236,2019-01-10,19.8,0.0
237,237,2019-01-10,16.8,0.0
238,238,2019-01-10,13.7,0.0
239,239,2019-01-10,12.8,0.0
240,240,2019-01-11,11.7,0.0
241,241,2019-01-11,9.5,0.0
242,242,2019-01-11,8.9,0.0
243,243,2019-01-11,10.4,0.0
244,244,2019-01-11,10.6,0.0
245,245,2019-01-11,10.8,0.0
246,246,2019-01-11,12.1,0.0
247,247,2019-01-11,19.1,0.0
248,248,2019-01-11,27.9,0.0
249,249,2019-01-11,32.0,0.0
250,250,2019-01-11,34.7,0.0
251,251,2019-01-11,37.0,0.0
252,252,2019-01-11,35.0,0.0
253,253,2019-01-11,33.7,0.0
254,254,2019-01-11,31.3,0.0
255,255,2019-01-11,26.0,0.0
256,256,2019-01-11,21.5,0.0
257,257,2019-01-11,19.2,0.0
258,258,2019-01-11,15.5,0.0
259,259,2019-01-11,17.4,0.0
260,260,2019-01-11,23.8,0.0
261,261,2019-01-11,29.0,0.0
262,262,2019-01-11,33.1,0.0
263,263,2019-01-11,40.4,0.0
264,264,2019-01-12,47.7,0.0
265,265,2019-01-12,50.7,0.0
266,266,2019-01-12,51.5,0.0
267,267,2019-01-12,54.3,0.0
268,268,2019-01-12,49.2,0.0
269,269,2019-01-12,44.2,0.0
270,270,2019-01-12,49.8,0.0
271,271,2019-01-12,58.9,0.0
272,272,2019-01-12,64.5,0.0
273,273,2019-01-12,60.8,0.0
274,274,2019-01-12,51.9,0.0
275,275,2019-01-12,49.6,0.0
276,276,2019-01-12,45.0,0.0
277,277,2019-01-12,35.1,0.0
278,278,2019-01-12,33.7,0.0
279,279,2019-01-12,25.4,0.0
280,280,2019-01-12,23.5,0.0
281,281,2019-01-12,24.1,0.0
282,282,2019-01-12,24.4,0.0
283,283,2019-01-12,25.9,0.0
284,284,2019-01-12,27.7,0.0
285,285,2019-01-12,30.3,0.0
286,286,2019-01-12,33.2,0.0
287,287,2019-01-12,34.4,0.0
288,288,2019-01-13,43.6,0.0
289,289,2019-01-13,42.1,0.0
290,290,2019-01-13,35.5,0.0
291,291,2019-01-13,28.1,0.0
292,292,2019-01-13,24.5,0.0
293,293,2019-01-13,22.2,0.0
294,294,2019-01-13,23.0,0.0
295,295,2019-01-13,31.5,0.0
296,296,2019-01-13,34.4,0.0
297,297,2019-01-13,34.8,0.0
298,298,2019-01-13,34.1,0.0
299,299,2019-01-13,32.6,0.0
300,300,2019-01-13,27.0,0.0
301,301,2019-01-13,23.7,0.0
302,302,2019-01-13,24.5,0.0
303,303,2019-01-13,24.0,0.0
304,304,2019-01-13,28.9,0.0
305,305,2019-01-13,28.7,0.0
306,306,2019-01-13,27.8,0.0
307,307,2019-01-13,25.6,0.0
308,308,2019-01-13,23.2,0.0
309,309,2019-01-13,27.5,0.0
310,310,2019-01-13,28.4,0.0
311,311,2019-01-13,30.0,0.0
312,312,2019-01-14,34.0,0.0
313,313,2019-01-14,34.8,0.0
314,314,2019-01-14,37.3,0.0
315,315,2019-01-14,36.1,0.0
316,316,2019-01-14,26.8,0.0
317,317,2019-01-14,24.2,0.0
318,318,2019-01-14,28.9,0.0
319,319,2019-01-14,31.8,0.0
320,320,2019-01-14,31.7,0.0
321,321,2019-01-14,31.3,0.0
322,322,2019-01-14,27.4,0.0
323,323,2019-01-14,25.9,0.0
324,324,2019-01-14,24.5,0.0
325,325,2019-01-14,23.6,0.0
326,326,2019-01-14,18.9,0.0
327,327,2019-01-14,19.5,0.0
328,328,2019-01-14,23.4,0.0
329,329,2019-01-14,27.8,0.0
330,330,2019-01-14,30.8,0.0
331,331,2019-01-14,34.2,0.0
332,332,2019-01-14,35.8,0.0
333,333,2019-01-14,35.4,0.0
334,334,2019-01-14,34.8,0.0
335,335,2019-01-14,33.4,0.0
336,336,2019-01-15,35.1,0.0
337,337,2019-01-15,33.2,0.0
338,338,2019-01-15,30.5,0.0
339,339,2019-01-15,23.6,0.0
340,340,2019-01-15,19.4,0.0
341,341,2019-01-15,20.0,0.0
342,342,2019-01-15,23.8,0.0
